"Dara",115,118,100,90,95,86,81,81,77,80,82,73,71,73,86,75
"Alan",46,53,51,59,60,71,77,72,80,65,73,64,68,75,72,76
"Shay",203,266,274,209,185,187,167,156,134,134,119,97,75,106,103,76
"Tommy",0,0,0,0,0,0,0,0,0,0,0,0,0,88,80,78
"Anthony",54,52,58,56,64,68,80,75,70,71,79,80,86,83,99,79
"Logan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,79
"Jakub",0,614,0,0,848,649,504,306,134,105,63,58,60,61,73,81
"Rhys",147,133,109,137,109,142,114,107,104,76,67,75,66,68,66,82
"Tomas",117,122,115,101,103,109,84,86,92,99,91,81,86,97,93,83
"Donnacha",0,0,0,0,0,0,0,0,0,0,0,0,0,76,73,84
"Kai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,85
"Stephen",17,23,27,26,33,33,37,42,46,60,58,76,88,77,95,86
"Killian",58,59,61,55,65,67,70,62,59,61,67,76,62,72,76,87
"Niall",37,36,38,41,40,54,50,53,60,76,82,70,91,86,93,88
"Jason",33,35,39,45,37,45,49,65,60,68,71,72,77,71,86,89
"Josh",112,107,89,81,62,56,58,56,67,63,76,66,68,77,78,90
"Kayden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,91
"Brian",35,36,36,39,38,40,45,43,52,51,51,68,81,92,91,92
"Martin",64,64,62,70,74,73,74,76,76,73,81,73,83,88,89,92
"Ruairi",119,113,103,105,103,92,104,93,83,97,87,88,88,94,81,92
"Isaac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,95
"Danny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,96
"Edward",79,81,81,77,89,86,95,104,115,82,94,103,101,95,95,96
"Hugh",101,102,109,117,106,101,91,99,107,111,100,92,126,99,112,98
"Oran",137,105,138,96,99,80,88,78,97,86,86,90,75,80,83,98
"Sebastian",376,222,349,273,292,245,263,243,199,132,138,135,92,92,109,98
"Peter",42,48,53,48,50,50,66,64,62,65,70,67,83,87,89,101
"Daire",107,122,106,98,116,92,95,96,98,123,104,108,100,112,102,120
"Filip",628,0,686,0,0,504,441,278,202,134,95,87,71,80,76,102
"Lee",42,46,44,47,46,42,46,46,55,70,78,90,81,111,103,126
"Paul",34,39,40,43,45,48,43,54,62,72,75,76,90,97,103,124
"Zach",0,0,0,0,0,0,0,0,0,0,0,0,0,96,88,106
"Lorcan",102,95,92,93,97,119,91,111,105,112,92,92,97,108,107,115
"Kacper",0,0,0,0,0,0,504,399,213,108,93,95,102,104,98,107
"Billy",188,144,174,145,138,156,107,101,103,120,98,112,121,101,100,110
"Kian",268,184,99,63,73,65,67,74,85,101,88,95,123,101,112,152
"Dean",29,32,45,35,44,42,62,63,69,79,66,82,107,128,114,161
"Richard",73,63,82,75,82,105,110,107,125,115,123,138,128,137,129,171
"Daithi",628,333,274,773,267,245,278,209,186,130,138,122,93,100,116,102
"Calum",179,189,160,223,123,109,117,70,44,50,69,92,93,88,122,181
"Charles",137,125,124,103,122,107,93,99,83,90,114,99,112,104,122,110
"Padraig",68,61,78,79,84,89,84,84,80,86,117,103,102,106,122,123
"Louis",142,131,129,105,135,124,109,111,123,86,111,107,128,132,127,122
"Reece",109,97,98,82,96,92,120,116,102,99,114,145,114,128,133,138
"Daragh",95,92,82,80,94,88,86,88,123,108,131,103,157,157,135,171
"Patryk",462,458,395,773,451,649,953,236,201,123,98,97,95,125,135,192
"Jonathan",86,87,73,86,82,90,97,90,107,106,123,116,116,137,135,135
"Gerard",79,81,88,105,96,132,125,134,133,134,150,213,215,198,174,197
"Karl",69,71,94,78,110,97,100,93,111,134,175,183,219,263,243,296
"Eric",75,90,94,106,92,119,103,102,131,139,159,137,128,143,116,131
"Colm",66,54,65,71,76,73,74,86,73,82,116,99,151,128,141,117
"Philip",87,78,74,97,123,111,126,128,107,129,126,140,153,187,141,147
"Seamus",95,107,101,111,97,119,129,131,143,143,150,147,178,160,153,178
"Tristan",162,201,155,147,136,142,152,122,99,120,104,118,116,128,144,142
"Brendan",78,84,76,90,84,81,104,110,111,145,148,167,153,164,152,199
"Shaun",87,90,102,98,136,106,120,134,166,147,196,227,300,238,310,317
"Steven",83,97,97,131,99,124,135,128,140,147,159,158,225,245,310,296
"Brandon",74,67,67,83,70,76,78,98,79,97,101,125,116,170,148,127
"Diarmuid",102,94,84,83,77,97,87,77,91,82,96,152,112,143,148,161
"Ross",39,43,56,63,74,68,55,66,80,93,73,82,102,109,116,102
"Cameron",119,97,86,108,103,95,110,118,90,94,104,103,97,118,103,114
"Gavin",45,58,54,54,55,62,64,66,75,64,79,89,116,143,153,127
"Connor",71,118,106,101,90,76,83,114,95,117,134,122,135,137,156,197
"Christian",109,130,111,131,116,104,93,92,99,86,88,99,121,121,156,192
"Marcus",162,141,155,147,174,130,140,181,154,158,191,213,178,170,182,184
"Keith",63,74,86,74,79,90,124,123,140,162,198,183,239,342,354,383
"Darren",47,47,52,62,72,76,76,83,88,122,136,132,128,149,163,131
"Dillon",89,86,105,123,123,107,137,148,179,166,178,183,214,183,215,209
"Owen",82,85,84,83,84,103,88,95,92,116,102,119,123,136,169,167
"Colin",70,79,78,92,110,81,69,102,88,112,108,122,144,165,169,199
"Henry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glen",92,104,121,123,155,142,146,136,207,175,224,292,399,263,290,479
"Szymon",0,0,686,0,596,947,0,518,223,175,129,99,116,114,126,171
"Simon",92,105,106,106,129,109,113,126,118,132,161,173,175,142,180,178
"Barry",83,89,91,111,123,130,122,138,145,180,178,220,283,245,310,352
"Declan",98,102,106,114,113,128,120,138,145,186,161,177,187,204,267,245
"Emmet",95,133,113,121,130,126,140,146,161,186,246,183,225,204,250,276
"Denis",115,113,119,117,95,117,129,136,121,123,131,158,175,165,188,161
"Jordan",22,20,20,29,42,61,98,136,157,186,175,199,283,256,233,209
"Donal",89,92,113,123,134,136,143,126,145,190,150,155,187,183,221,202
"Ian",62,64,78,87,78,97,132,119,134,190,168,173,259,289,267,276
"Gary",71,72,89,98,87,117,112,160,145,201,187,195,275,215,310,383
"Neil",109,97,103,134,130,134,152,166,184,201,224,337,219,308,290,317
"Hugo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig",50,49,49,40,59,63,72,89,85,112,126,173,170,232,215,229
"Kieran",67,73,60,72,69,72,73,90,105,94,111,152,141,152,227,152
"Emmanuel",268,204,210,138,107,95,117,166,161,226,172,183,198,308,300,404
