"Isabel",146,146,132,129,94,115,67,75,68,66,58,62,62,71,82,75
"Aoibheann",163,141,132,139,182,120,129,113,76,91,71,79,76,69,59,76
"Sadie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"Lena",499,322,378,369,352,403,341,456,298,212,189,120,83,85,71,78
"Hollie",166,158,195,119,115,126,114,109,119,164,143,95,99,104,77,79
"Sienna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"Mary",34,37,37,37,41,45,44,48,52,57,60,61,60,69,71,81
"Fiadh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"Zuzanna",0,0,0,0,0,0,0,695,343,133,85,70,71,73,108,83
"Aimee",88,68,107,74,66,48,47,46,51,64,66,49,57,74,75,84
"Tara",39,29,35,32,32,40,36,39,38,46,51,51,62,74,90,84
"Hanna",0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,86
"Katelyn",127,82,46,52,52,35,37,41,43,47,59,57,68,78,91,86
"Lilly",0,440,672,608,512,279,224,171,151,114,102,110,76,78,75,86
"Ruth",55,52,71,56,68,64,79,73,94,101,111,92,100,86,97,86
"Alexandra",67,91,87,68,78,88,68,81,79,67,89,78,90,97,105,90
"Poppy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"Amber",83,115,84,100,108,94,78,70,65,68,75,74,71,68,64,92
"Mollie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"Victoria",97,82,89,100,83,79,82,116,100,77,107,97,96,94,79,92
"Lara",153,139,98,117,80,102,102,127,113,93,146,123,102,101,114,95
"Sara",80,124,111,84,91,106,94,125,112,81,80,90,88,78,93,95
"Brooke",631,638,324,254,289,200,141,135,133,73,76,85,74,82,86,96
"Aoibhe",304,188,258,166,131,94,74,64,55,59,55,62,79,87,78,97
"Laoise",153,124,109,113,100,99,108,114,108,135,115,159,133,106,97,98
"Kayleigh",48,55,73,74,68,63,71,58,58,55,65,87,90,97,85,98
"Madison",874,902,466,441,443,439,294,222,175,153,111,96,100,89,100,100
"Maisie",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,116
"Natalia",874,902,0,750,621,834,409,455,225,150,78,86,81,107,93,101
"Georgia",106,96,87,81,128,120,141,111,102,127,132,150,113,109,104,103
"Michelle",42,39,48,62,61,77,94,84,108,103,99,120,122,185,151,193
"Maeve",69,65,59,70,75,77,74,85,88,78,94,87,115,127,100,104
"Taylor",99,124,98,103,118,112,110,114,108,89,99,100,110,102,105,106
"Meabh",170,162,159,133,210,124,131,101,121,110,87,110,107,92,88,108
"Evie",0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,109
"Alanna",73,87,86,86,80,66,66,79,84,110,84,103,105,129,118,148
"Fiona",51,56,69,74,63,80,83,106,102,110,158,209,214,215,184,286
"Daisy",345,393,466,335,254,220,219,195,175,164,158,97,71,100,91,110
